0 1 0.001
0.001 0.999998 0.002
0.002 0.999996 0.003
0.003 0.999992 0.00399999
0.004 0.999988 0.00499998
0.005 0.999983 0.00599997
0.006 0.999976 0.00699995
0.007 0.999969 0.00799992
0.008 0.99996 0.00899988
0.009 0.999951 0.00999984
0.01 0.99994 0.0109998
0.011 0.999929 0.0119997
0.012 0.999917 0.0129996
0.013 0.999903 0.0139996
0.014 0.999889 0.0149995
0.015 0.999873 0.0159993
0.016 0.999857 0.0169992
0.017 0.99984 0.0179991
0.018 0.999821 0.0189989
0.019 0.999802 0.0199987
0.02 0.999781 0.0209985
0.021 0.99976 0.0219983
0.022 0.999737 0.022998
0.023 0.999714 0.0239977
0.024 0.99969 0.0249974
0.025 0.999664 0.0259971
0.026 0.999638 0.0269968
0.027 0.99961 0.0279964
0.028 0.999582 0.028996
0.029 0.999553 0.0299956
0.03 0.999522 0.0309951
0.031 0.999491 0.0319946
0.032 0.999458 0.0329941
0.033 0.999425 0.0339935
0.034 0.99939 0.034993
0.035 0.999355 0.0359923
0.036 0.999319 0.0369917
0.037 0.999281 0.037991
0.038 0.999243 0.0389902
0.039 0.999203 0.0399895
0.04 0.999163 0.0409887
0.041 0.999122 0.0419878
0.042 0.999079 0.0429869
0.043 0.999036 0.043986
0.044 0.998991 0.044985
0.045 0.998946 0.045984
0.046 0.9989 0.0469829
0.047 0.998852 0.0479818
0.048 0.998804 0.0489806
0.049 0.998754 0.0499794
0.05 0.998704 0.0509781
0.051 0.998653 0.0519768
0.052 0.9986 0.0529754
0.053 0.998547 0.053974
0.054 0.998492 0.0549725
0.055 0.998437 0.055971
0.056 0.998381 0.0569694
0.057 0.998323 0.0579678
0.058 0.998265 0.0589661
0.059 0.998206 0.0599643
0.06 0.998145 0.0609625
0.061 0.998084 0.0619606
0.062 0.998021 0.0629587
0.063 0.997958 0.0639567
0.064 0.997894 0.0649546
0.065 0.997828 0.0659525
0.066 0.997762 0.0669503
0.067 0.997695 0.067948
0.068 0.997626 0.0689457
0.069 0.997557 0.0699433
0.07 0.997486 0.0709408
0.071 0.997415 0.0719382
0.072 0.997343 0.0729356
0.073 0.997269 0.0739329
0.074 0.997195 0.0749302
0.075 0.99712 0.0759273
0.076 0.997043 0.0769244
0.077 0.996966 0.0779214
0.078 0.996888 0.0789184
0.079 0.996808 0.0799152
0.08 0.996728 0.080912
0.081 0.996647 0.0819087
0.082 0.996564 0.0829053
0.083 0.996481 0.0839018
0.084 0.996397 0.0848983
